"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"TP_SIGNAL_NAME";
"7";"";"LEDCHIPLED_0603";"CHIPLED_0603";"D1, D2, D3, D4, D5, D6, D7";"LED";"";"";"";"";"";
"1";"";"MAXIM1152SMT";"16-SSOTMAXIM";"U5";"";"";"";"";"";"";
"1";"";"USBMINIB";"USB-MINIB";"CN2";"USB Connectors";"";"";"";"";"";
"1";"";"XTAL/S";"QS";"Q1";"CRYSTAL";"";"";"";"";"";
"4";".1uF";"C-EUC0603K";"C0603K";"C1, C3, C6, C17";"CAPACITOR, European symbol";"";"";"";"";"";
"9";"10k";"R-US_R0603";"R0603";"R1, R28, R29, R30, R31, R32, R33, R34, R35";"RESISTOR, American symbol";"";"";"";"";"";
"2";"10uF";"C-EUC0603K";"C0603K";"C4, C7";"CAPACITOR, European symbol";"";"";"";"";"";
"8";"150";"R-US_R0603";"R0603";"R2, R3, R4, R5, R6, R23, R25, R26";"RESISTOR, American symbol";"";"";"";"";"";
"2";"1A";"TR5";"TR5";"F1, F2";"FUSE";"";"";"unknown";"unknown";"";
"5";"1uF";"C-EUC0603K";"C0603K";"C2, C5, C8, C9, C18";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"24LC256SN";"24LC256SN";"SO-08";"U2";"Serial EEPROM";"MICROCHIP";"24LC256-I/SN";"9757996";"27C9144";"";
"1";"33k";"R-US_R0603";"R0603";"R27";"RESISTOR, American symbol";"";"";"";"";"";
"10";"3PINDEVICEDEFAULT";"3PINDEVICEDEFAULT";"3PINPACKAGE";"U$1, U$2, U$5, U$6, U$7, U$8, U$9, U$10, U$11, U$12";"";"";"";"";"";"";
"1";"BC849";"BC849";"SOT23";"T1";"NPN TRANSISTOR";"";"";"";"";"";
"1";"BUTTON";"BUTTON";"RESETBUTTON300000MILLION";"S1";"";"";"";"";"";"";
"1";"FT232RFTR232R";"FT232RFTR232R";"SSOP-28";"U$4";"";"";"";"";"";"";
"27";"MA03-1";"MA03-1";"MA03-1";"ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ADC7, AI0, AI1, AI2, AI3, AO0, AO1, GPIO0, GPIO1, GPIO2, GPIO3, IOCLK, IOCS, IOMISO, IOMOSI, IORX, IOSCL, IOSDA, IOTX, LCD";"PIN HEADER";"";"";"unknown";"unknown";"";
"1";"MC1525TO";"MC1525TO";"TO92";"U4";"2.5V and 4.096V Voltage References";"";"";"unknown";"unknown";"";
"1";"MICROSD";"MICROSD";"MICRO_SD_PUSH-PUSH";"J2";"";"";"";"";"";"";
"1";"P8X32A-Q44";"P8X32A-Q44";"P8X32A-Q44";"U1";"";"";"";"";"";"";
"1";"PROP_PLUG";"PROP_PLUG";"PROP_PLUG";"U$3";"Propeller Plug";"";"";"";"";"";
"1";"RRINTERFACE-FEMALE";"RRINTERFACE-FEMALE";"RRINT-FEMALE";"J1";"";"";"";"";"";"";
"1";"TPSPAD1-13";"TPSPAD1-13";"P1-13";"TP3V3";"TEST PIN";"";"";"";"";"";
